station_id,name,lat,lon,precip_mm_2025
US1OHTS0008,SUGARCREEK 0.9 ENE,40.5114,-81.6257,918.4
US1OHTS0014,UHRICHSVILLE 0.7 N,40.4099,-81.3532,970.1
US1OHTS0024,NEW PHILADELPHIA 5.6 WSW,40.4445,-81.5317,941.5
US1OHUN0018,MARYSVILLE 6.1 ENE,40.2727,-83.268,974.1
US1OHUN0020,PLAIN CITY 4.1 NE,40.1533,-83.2232,822.0
US1OHUN0021,MARYSVILLE 1.3 ENE,40.2425,-83.3508,877.7
US1OHVN0005,MCARTHUR 7.0 W,39.2633,-82.607,1171.7
US1OHWD0012,BOWLING GREEN 2.7 NW,41.4082,-83.6716,851.0
US1OHWD0014,PERRYSBURG 1.6 WSW,41.5411,-83.6497,805.4
US1OHWD0023,BOWLING GREEN 0.8 W,41.3757,-83.6641,763.4
US1OHWD0026,WAYNE 0.3 ESE,41.3002,-83.467,849.4
US1OHWD0027,NORTHWOOD 1.8 SE,41.5919,-83.4549,784.4
US1OHWD0033,PERRYSBURG 2.2 WSW,41.5376,-83.6612,810.4
US1OHWL0005,ALVORDTON 0.5 E,41.6654,-84.4244,815.9
US1OHWN0012,WEST SALEM 1.3 SSE,40.9513,-82.1015,809.9
US1OHWN0014,MOUNT EATON 0.2 W,40.6954,-81.7059,1030.6
US1OHWN0021,DOYLESTOWN 2.0 ESE,40.9575,-81.6624,788.8
US1OHWR0014,LEBANON 3.4 E,39.4202,-84.1493,1287.0
US1OHWR0035,LEBANON 3.7 ENE,39.4402,-84.1456,1182.2
US1OHWR0036,SPRINGBORO 3.7 SE,39.53,-84.1841,997.1
US1OHWR0040,LOVELAND 3.6 ENE,39.2929,-84.2163,1282.2
US1OHWR0053,BLANCHESTER 3.0 NW,39.324,-84.0128,1241.1
US1OHWS0012,WATERFORD 3.4 SSW,39.4952,-81.664,1045.7
US1OHWS0014,MARIETTA 3.5 NNW,39.4678,-81.473,1068.5
USC00330082,ALEXANDRIA 2 NNW,40.1181,-82.6269,1046.3
USC00330140,AMELIA,39.0214,-84.2186,1372.9
USC00330279,ATHENS OU,39.3225,-82.0994,1076.2
USC00330563,BELLEFONTAINE,40.3536,-83.7753,982.7
USC00330573,BELLEVILLE L&D,39.1167,-81.7428,1181.0
USC00330639,BERLIN LAKE,41.0431,-81.0092,917.3
USC00330676,BEVERLY STP,39.5475,-81.6283,1044.4
USC00330862,BOWLING GREEN WWTP,41.3831,-83.6111,833.8
USC00331042,BRYAN 2 SE,41.4619,-84.5272,800.1
USC00331057,BUCKEYE LAKE 1 N,39.9522,-82.4819,1056.1
USC00331072,BUCYRUS,40.8125,-82.9697,1020.0
USC00331390,CELINA 3 NE,40.5689,-84.5369,827.7
USC00331404,CENTERBURG 2 SE,40.2914,-82.6547,1064.0
USC00331458,CHARDON,41.5872,-81.1914,1263.0
USC00331516,CHEVIOT 3 W,39.1514,-84.6769,1231.7
USC00331524,CHILLICOTHE 6 NW,39.3836,-83.0772,1259.3
USC00331536,CHILO MELDAHL LOCKS & DAM,38.7975,-84.173,1285.7
USC00331592,CIRCLEVILLE,39.6103,-82.9556,1256.2
USC00331777,COLUMBUS-HAP CREMEAN WP,40.0603,-82.8942,1052.3
USC00331779,COLUMBUS-PARSONS AVE,39.8469,-82.9872,1041.5
USC00331785,COLUMBUS WCMH,40.025,-83.0269,985.3
USC00332067,DAYTON MCD,39.7817,-84.1903,1058.2
USC00332098,DEFIANCE,41.2783,-84.3847,831.5
USC00332120,DELAWARE 2 ESE,40.2886,-83.0486,1030.3
USC00332124,DELAWARE LAKE,40.3583,-83.0703,658.8
USC00332160,DENNISON WTR WKS,40.4056,-81.3436,1017.0
USC00332485,EATON,39.7328,-84.6353,1059.2
USC00332513,EDON 4S,41.4981,-84.7744,789.4
USC00332585,ELMORE 5 E,41.4914,-83.2147,1056.2
USC00332651,FAIRFIELD,39.3478,-84.5897,1296.0
USC00332791,FINDLAY WPCC,41.0461,-83.6622,842.1
USC00332872,FT LORAMIE,40.3567,-84.3733,870.3
USC00332895,FT RECOVERY,40.41,-84.7856,375.7
USC00332928,FRANKLIN,39.5536,-84.3189,1086.1
